NAME,Revenue_2015,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019,Employees_2017,Employees_2018,Employees_2019,Employees_2020,Revenue_2020
UMBA,412675000.0,486254000.0,571930000.0,690266000.0,783906000.0,469.0,472.0,473.0,491.0,851874181.4789207
GNLT,405693000.0,488220000.0,575394000.0,625475000.0,664637000.0,2962.662342610184,3270.0,3504.0,3599.0,737833351.9522659
JONQ,340617837.76106006,382173771.0,490623456.0,571527087.0,606211263.8323467,2074.611357714203,2071.0,1875.0,1860.0,675732436.8912237
PEAA,460549323.0,492243000.0,535840000.0,563453000.0,562638000.0,667.8068875497343,649.0,621.0,575.0,606184644.0380584
PVUP,612978589.0,609776048.0,606999243.0,590276511.0,554921651.0,1698.0,1731.0,1808.0,1747.271144324932,580461300.2613957
JTTI,351440196.0,390350842.0,435090410.0,474053422.0,497653585.0,411.0,417.0,434.0,418.1450435874466,540232898.8887119
QIXT,433086541.0,610646670.0,474426346.0,405180529.0,482567467.0,24.7246885736184,26.0,31.0,30.0,480385394.0220432
DTDM,302325000.0,220155000.0,392944000.0,451754000.0,463018000.0,193.0,302.0,340.0,345.0,562661718.6448321
GXPB,366285554.0,348004135.0,356524364.0,361173035.0,412242566.0,626.0,661.0,664.0,669.7754402687503,450234491.3454266
FJIW,307269595.0,333617043.0,363232201.0,410240592.0,404385444.0,1173.0,1266.0,1372.0,1384.4241115346315,422999505.40024006
YGWJ,49512591.0,142684869.0,284524299.0,362025998.0,392146542.0,24.714641591224908,17.86353804818009,14.0,7.454397017239286,469022113.89689
ASSW,111286120.89201969,175233624.0,238228921.0,300629085.0,375501401.0,318.0,387.0,443.0,523.0,425415019.23814005
GRRA,163348551.0,202538162.0,235217402.0,248395184.0,327565784.0,185.57319094368594,250.0,309.0,350.0,378048389.6792144
KMBP,376540000.0,386115000.0,346352000.0,329484000.0,314070000.0,1517.0874678931505,1651.0,1611.0,1719.0,311630118.0307435
NXMM,46196403.0,55387572.0,139607557.0,119131850.0,155226559.0,50.0,62.0,88.0,92.0,226286418.60157117
AMKV,455094000.0,442608000.0,400748000.0,303541000.0,305815000.0,434.16416283644526,453.0,463.0,458.0,336790072.630981
VMBR,42119939.0,89056634.0,182617242.0,242496665.0,297603734.0,37.830712734852824,23.88015123703177,14.258053850340836,1.0,356071394.3599754
LHWX,120714035.0,157082547.0,197283410.0,236346556.0,288727676.0,70.86582493675459,65.0,63.0,54.0,324884615.60521877
TICL,166919024.0,242519870.0,253319197.0,258210674.0,287016860.0,162.39943461607103,168.0,165.0,166.0,314004763.1249168
EKOR,268843672.0,283169003.0,283209156.0,291877495.0,279340326.0,173.0,165.0,126.0,120.6547668388944,288323857.65673834
DAOO,242954049.0,242487099.0,247521696.0,267444463.0,276942313.0,13371.921503522412,14272.0,14676.0,14834.0,284603723.35823727
YZHM,127420628.0,164547181.0,189035866.0,247124894.0,261321418.0,608.2576764700698,673.0,764.0,763.0,270532095.76136756
KXGN,273515293.0,247808657.0,266132638.0,283287044.0,257691022.0,368.0,385.0,390.0,311.0,268902212.498323
JVYR,72081753.0,123174793.0,146985049.0,200587031.0,257210211.0,113.4054515275893,118.0,125.0,122.0,278367905.1796266
HEAG,74118140.0,106202524.0,112191048.0,159511876.0,253970992.0,422.0,437.0,450.0,480.0,276996037.62883407
IAUL,208041626.0,206945935.0,210963455.0,221045097.0,226939816.0,15732.76926388025,17228.0,17532.0,18375.0,232889656.96069884
RYLP,214318000.0,208703000.0,216624000.0,224668000.0,214847000.0,6117.0,5827.0,5423.0,4977.059498718252,223825283.39116323
TTXI,126365788.0,87665121.0,162090401.0,185577506.0,211618542.0,18.413651519928784,13.075840022879023,11.0,5.7780318117369625,261436452.99824548
BQLX,109158435.0,138757270.0,172041507.0,207055346.0,231631679.64719313,130.0,156.0,162.0,175.0,255470741.8486947
VPHY,238086649.0,232350372.0,225356744.0,203864524.0,193019552.0,806.0,821.0,792.0,778.5437670644085,205034967.3752964
ECMR,111881031.0,162363187.0,170300859.0,172913689.0,192457845.0,1996.0,2194.0,2333.0,2401.669529008793,210540792.05952963
VOHZ,150094356.0,125460637.0,159266227.0,184781865.0,175177524.84561425,292.0,328.0,351.0,381.0,191182375.10324228
SUWX,122040000.0,134964000.0,142107000.0,157051000.0,187921000.0,473.0,530.0,535.0,567.9499402600148,204190595.49372688
WAQK,54089326.0,45560380.0,182154874.0,180279489.0,135011464.4823805,2913.816291223826,3201.0,3361.0,3474.0,204832419.3195767
MPGK,132306186.0,137794000.0,136319852.0,164616149.0,175910013.0,1757.420585534191,1970.0,2134.0,2216.0,176367068.25091743
XBKY,20157049.0,146717716.0,159059911.0,154935069.25214067,228454576.9060914,378.0,429.0,467.0,490.4405859242721,267588528.7422188
YDPS,170578160.0,170807379.0,202492758.0,170532364.0,159807877.02179003,1934.7992467784875,2032.0,2115.0,2083.0,194501064.74120203
ABVT,716839201.0,693089011.0,646084784.0,169954973.0,173033388.0,3562.5320274823302,3635.0,3598.0,3506.0,335250500.71319056
KMSR,118310289.0,63382459.0,88614638.0,181995916.0,171380880.0,163.0,185.0,223.0,243.0,156883583.64929047
DPXL,135004456.0,154384377.0,136425544.0,165099732.0,198724746.28853196,601.0,603.0,591.0,628.0,197486062.29470268
OQWD,232514617.0,211794571.0,179216304.0,173857844.0,165937599.0,628.0,624.0,606.0,579.5539723412318,157373695.40186003
QLDI,89919527.0,117421610.0,134840640.0,144683930.0,158838146.0,247.9317792286043,295.0,345.0,365.0,176909281.5154712
LJLD,59810562.0,100881747.0,110405058.0,119171348.0,156248575.0,63.39135125073456,64.0,67.0,64.0,176150833.93391943
YKQM,117428290.0,166866164.0,118448462.0,152454186.0,153296790.0,50.0,56.0,52.0,56.955793594046376,123083786.87208463
LBYO,117076950.0,121240000.0,125138000.0,131616000.0,153186000.0,331.0,331.0,331.0,317.00531076673246,166756776.7045925
ZLXM,251980157.0,547714853.0,453362527.0,324712904.0,148722855.0,38.33558055371506,36.0,33.0,31.0,110050590.933595
ZYCO,159188000.0,187797000.0,207255000.0,192709000.0,150192000.0,215.71587509408343,212.0,207.0,194.0,163911351.85255688
BNXP,159188000.0,187797000.0,207255000.0,192709000.0,150192000.0,215.71587509408343,212.0,207.0,194.0,163911351.85255688
LUGR,120102121.0,135980090.0,142293551.0,133212938.0,144617256.0,1561.6982923916792,1636.0,1732.0,1685.0,161839122.02438483
XFDO,28829467.0,38848239.0,66031951.0,106405505.0,144224127.0,49.81107246284674,68.0,79.0,95.0,161379458.7262368
VQND,116249000.0,117427000.0,122603000.0,133570000.0,136952000.0,110.1504314998844,139.0,154.0,178.0,144150861.90852118
QAPF,34193591.0,41905042.0,50214085.0,105704051.0,131192465.0,275.6502790343144,431.0,650.0,714.0,128435395.31474082
HIVB,56479642.0,69423039.0,79257665.0,92243381.0,130650835.0,91.07863573919221,129.59136203243008,160.0,189.0,148049186.48395953
TEMG,178179604.0,176434246.0,205523821.0,151358326.0,129694147.0,371.3406774874072,355.0,344.0,309.0,167568374.03613573
FZZR,23558587.0,66438140.0,86167925.0,94384834.0,126993777.0,234.0,226.0,231.0,212.41009134156522,149887934.8368124
BXBU,72290000.0,84525000.0,78130000.0,122522000.0,149903220.40298745,37.0,43.0,76.0,72.62522348790885,145042944.00597343
HRPQ,59412000.0,57382000.0,76557000.0,121322000.0,131483980.28752546,3.7113413535711635,1.9045446305098706,4.0,1.8665129988982128,135068391.32034022
YMPG,112239421.0,115168086.0,119760006.0,123721470.0,125877166.0,242.0,232.0,248.0,250.0,134456195.41646662
OKBG,107377366.0,103415050.0,114394923.0,127212116.0,122180492.0,1161.0,1264.0,1269.0,1294.0,128534596.9152723
HIXZ,53061659.0,78273098.0,92717586.0,93868457.0,121623909.0,279.0153438087772,313.0,342.0,355.0,142745588.3385943
LQOF,52331190.0,48648000.0,58503000.0,83503000.0,118542543.0,82.0,92.0,102.0,115.0,129977408.55649264
GAPS,118567269.0,116244410.0,110868466.0,104211172.70953566,108743513.54492173,656.8394895758096,691.0,697.0,701.0,115410825.00236847
IVSE,52133544.0,78347106.0,111796931.0,139429773.6872508,156658973.12116116,2795.0,3343.0,4158.0,4362.922355047576,175992907.5573963
JCBA,44879766.0,60963333.0,77089020.0,89662691.0,112936848.0,142.610424848153,185.0,210.0,244.0,129136005.8496669
XTIF,57799215.0,76803200.0,86570330.0,99537256.0,109715907.0,36.905431580897705,25.889002286375398,18.869439810784993,8.0,118949064.73716764
NFSD,38325720.0,48753475.0,61300121.0,75025429.0,109092134.0,264.6167152130024,297.0,313.0,332.0,125383855.29224972
JVXC,139010837.0,121336277.0,94161368.0,84348750.0,107877035.0,36.470098320298064,40.0,40.0,44.0,108850457.15324584
CQTB,83952020.0,79689034.0,84038477.0,101713783.0,103347814.0,79.0,90.0,92.0,99.01401442951703,105362079.61399397
XPMT,33825974.0,47611191.0,51816584.0,58924968.0,102381412.0,644.0,701.0,766.0,657.0,118506225.51965263
ZHSB,68630948.0,76838501.0,86175728.0,90372802.0,101643249.0,401.0,411.0,451.0,459.0,113610171.01972444
JAFQ,107621704.0,82160713.0,93800846.0,106272754.56491852,96807005.31396753,68.78533037792968,73.0,73.0,76.0,101600730.90794753
SUDG,172795850.0,101945592.0,93351900.0,91109450.47385189,58932784.17227697,142.0,134.0,98.0,93.28668924852538,50534479.063290685
LAQN,59798555.0,74832984.0,93836072.0,97771064.0,105632829.11644845,1046.0,1177.0,1158.0,1242.2608633651919,122023769.20947003
VALC,44048995.0,61906806.0,78700837.0,91802405.0,98767179.0,107.0,131.0,143.0,158.78151090584737,110311759.50486504
ONVC,46528965.0,74446374.0,94784705.0,89670911.0,98324916.0,64.67310074539847,80.0,99.0,106.0,119038673.36907552
RIUY,63676804.03335561,69834721.0,80689322.0,95105645.0,103565773.21414512,55.68655864320218,60.0,67.0,67.0,112062371.3310138
XSWN,73225271.0,71908599.0,76940059.0,88969591.0,94182653.0,275.0,274.0,260.0,250.86355707681426,99032266.17432836
EBQV,57865522.0,76459850.0,81235196.0,87667119.0,93595883.0,170.42650250132183,187.0,214.0,212.0,100566647.91140874
HCDP,57466093.0,34089297.0,39755327.0,33644000.0,91287000.0,126.92959926345384,185.0,257.0,286.0,116246949.03940584
JMPG,31488910.0,30035047.0,35719707.0,35270047.0,91153915.0,83.0,87.0,139.0,136.0,113606505.93723166
RAKT,64871570.0,71537131.0,80801620.0,89450496.0,93681487.0,79.0,81.0,95.0,100.0,101874304.2637928
YEHS,61602734.0,67269891.0,69849922.0,79931998.0,89253383.0,166.13329684538706,207.0,235.0,264.0,94262572.20976944
XCIH,66251131.0,66639564.0,75544919.0,80277501.0,87786937.0,34.393954163019544,31.341597991736677,31.38605884627628,27.0,97782598.74147108
SDGB,13333910.0,24951119.0,36627791.0,52505311.0,87739449.0,231.2967504161552,247.0,271.0,266.0,101917292.66592452
GKMD,25032991.0,39847894.0,59386873.0,85652374.0,87606893.0,100.0,95.0,106.0,115.0,93863423.65299481
BDXM,53069000.0,55778756.0,64149070.0,69511519.0,84239743.0,179.81101675045917,205.0,233.0,241.0,95250530.50755744
FDRT,51507604.0,61777766.0,78581323.0,92673725.28714362,101070184.1338242,734.0,934.0,1118.0,1232.8505238794737,112351522.55682704
YHYX,58628546.0,66551510.0,74622836.0,79342235.0,82571090.0,403.89548602783736,470.0,528.0,559.0,90577947.93850896
FYMR,88264448.0,76197649.0,71073298.0,71935420.0,81954390.0,46.0,60.0,63.0,69.0,86092726.95605624
SHVM,52448619.734871075,57481030.0,69784586.0,80228377.0,85730695.42333554,102.36836679273375,115.0,122.0,130.0,94777823.95933455
VLCH,74306018.0,73336155.0,76652755.0,83480036.0,83325051.0,41.48281228179599,48.0,58.0,60.0,87332717.34059648
PEQR,79396304.0,60611884.0,61766830.0,67660756.0,81178144.0,186.0,210.0,241.0,272.0,87597735.81949835
NGWX,88435987.0,77636815.0,87965503.0,94328833.0,80319951.0,127.0,126.0,131.0,129.0,84647266.26856743
HIQR,16626826.0,30228921.0,52495405.0,73238997.0,81951533.0,111.71496155780363,122.42910993051865,133.0,136.0,93137933.12842065
PCRY,61118572.0,73410483.0,73693884.0,75667563.0,79089943.0,42.60721680694439,44.0,42.0,44.0,83945994.41201808
DJAJ,55935000.0,60035000.0,65623000.0,68897924.0,78541000.0,31.421947671656305,33.0,38.0,37.0,87316820.85500392
KQJK,93853455.0,91784914.0,89114265.0,88316432.0,78158309.0,204.0,198.0,188.0,179.0,78951791.78931189
BSTB,67296294.0,69265806.0,72444672.0,74464493.7702935,79055272.96614887,373.0,389.0,389.0,388.42683712068504,85633182.36920427
VNNN,67296294.0,69265806.0,72444672.0,74464493.7702935,79055272.96614887,373.0,378.0,381.0,368.0,85640403.48199613
FODJ,61126992.0,74069323.0,69791587.0,75666469.0,90176315.98931399,34.144678436426105,33.0,35.0,32.0,94475578.74411425
KNBY,77160606.0,71689762.0,81999013.0,80783478.0,71151696.0,30.119367893383238,30.0,33.0,31.0,78946805.38392131
FWCG,42601340.0,57257953.0,75095236.0,73151718.0,70473205.0,150.0,151.0,179.0,202.0,84268163.99681014
VYII,45023700.0,51927289.0,61292730.0,63286280.0,70322098.0,346.14010657322433,324.0,286.0,260.0,80451736.64396822
FPUR,38849267.0,47372935.0,49141278.0,64922283.0,69012924.0,64.74195139503004,73.0,81.0,85.0,69107306.45224336
JCQR,8657517.0,33963149.0,40563056.0,52457062.0,68330226.0,35.21629171005178,25.8430347570152,19.0,10.248339026409818,75442981.17160316
LIZT,56516060.0,59561898.0,62812631.0,67884605.0,73516492.24478583,177.4730131877087,191.0,203.0,205.0,79016140.93984039
KUGE,60849453.0,64986303.0,73310904.0,55867472.0,67515378.0,543.0,684.0,750.0,756.0,85196548.4094543
CZMD,54909781.03319645,62999811.0,61014663.0,58466339.23464411,66593216.0,78.41757072239295,86.0,91.0,95.0,72401296.7441903
OWPN,53390396.0,56382436.0,60159133.0,64356598.0,66118058.0,137.0,147.0,153.0,155.0,70880140.82467155
BNOD,53390396.0,56382436.0,60159133.0,64356598.0,66118058.0,50.00782165121326,37.55752817827492,27.0,15.485812044426108,70929460.63279167
WPOL,34000589.0,44880719.0,46920612.0,47093455.0,65934082.0,128.5972625734938,140.0,145.0,151.0,75532993.00571717
JBLK,7492083.0,11089171.0,18677520.0,34066733.0,65712354.0,18.316913130327848,55.0,69.0,109.0,75825579.41659473
GEPU,46115918.0,55562649.0,51892522.0,64066447.0,77459016.42495936,39.41695175758251,29.03483344054924,21.0,11.365915830078038,78768054.41348185
NWWO,50798124.0,52679612.0,64277191.0,63496029.0,64813427.0,1146.0,1111.0,1055.052665352163,985.5609838529494,75207901.43196507
ZIQP,56597762.0,56596911.0,64619830.0,71803799.0,64634609.0,80.0,83.0,86.0,85.10228994111462,68287242.13474616
SBRZ,23101043.0,29742418.0,42834356.0,63383136.0,71290942.00908326,482.31093300048303,553.0,644.0,658.0,76614593.19237989
QKOW,17326000.0,29263000.0,38043000.0,49354000.0,63466000.0,25.375346229550047,61.0,88.0,119.0,71237715.95178722
JVYR,30964697.0,47588967.0,52253678.0,55549367.0,62758454.0,96.0,108.0,108.0,113.0,69538520.03442158
ZKQM,68678539.0,79405588.0,56299459.0,32568479.18281766,42694037.21956948,142.531091097352,170.0,191.0,208.0,44163179.24168016
VISC,52362931.0,53056213.0,52480403.0,58410362.0,63853417.45808292,55.0,60.0,58.0,69.0,66436295.8095907
OCHP,24264589.0,38005665.0,44189469.0,54806535.0,59244416.0,170.0,193.0,215.0,227.0,63179425.465229645
VWQF,45433000.0,45379000.0,51283000.0,57675000.0,60434279.959894754,153.0,159.0,173.0,169.13022461482387,65465730.25617014
HNIF,58345756.0,62946809.0,67456163.0,72218222.0,57384185.0,257.95922987625625,316.0,367.0,400.0,57617409.70189206
ZROE,39702782.315102994,43595441.0,49857228.0,54425352.0,58619853.81065796,1.499624688915253,0.0,1.0,0.0,64850623.55426544
VSPY,34001225.0,37479138.0,42560321.0,49276166.0,55202287.0,458.73776521426123,493.0,520.0,524.0,60051939.93418567
MFVL,62443540.0,53045859.0,47791668.0,46652200.0,54500525.0,3.7113413535711635,1.9045446305098706,4.0,1.8665129988982128,57319023.401226014
QKPI,21200333.0,49146681.0,65972853.0,62038659.0,54069171.0,45.88872672449285,47.0,53.0,50.0,65906319.0236748
QXOC,224427296.0,63430628.0,35509000.0,53384396.0,55204948.0,501.36413604932807,489.0,452.0,429.0,36979737.1215484
XUYZ,40747566.30754928,42559928.0,44835850.0,49113551.0,52076928.0,186.0,226.0,258.0,276.0,55496543.59663564
PFLC,27921169.0,35940691.0,35150861.0,39280798.0,51660810.0,120.94465256087561,122.0,129.0,121.0,55864554.50106041
QFDI,34444207.0,39126287.0,45373626.0,47950009.0,49276644.0,4596.714793054472,4901.0,5088.0,5110.0,53217860.349094614
ZAJZ,25108338.0,29546419.0,38891055.0,45619963.0,50510353.0,41.0,61.0,72.0,98.0,57305266.543864
TVPL,48215046.0,37538043.0,36350542.0,47229484.0,50320845.0,223.0,238.0,240.0,244.54108007045977,49335966.57286163
VNOV,46872202.0,44388015.0,43600768.0,48427758.0,51369139.96615663,31.0,31.0,32.0,32.0,52964364.22412218
IOBP,5481111.0,16875451.0,57642074.0,47180194.0,38752093.55340971,353.3112873857351,339.0,322.0,294.0,64991863.40376267
JVXX,27684000.0,33800000.0,34340000.0,35968000.0,39214000.0,35.31923531697463,29.33274694239303,26.774672885832118,20.0,42153643.942294106
CFIM,40455530.0,41886198.0,37294345.0,47145583.0,48958413.0,58.6903905392591,59.0,60.0,58.0,46185019.64837062
FUXL,18645129.0,25302276.0,33906946.0,43211178.0,47232369.0,1151.0,1349.0,1553.0,1624.0,51726607.65353307
IGQI,36363477.0,52681663.0,41674570.0,42648311.0,46562196.0,55.374805393179734,57.0,56.0,57.0,44035870.3121613
KWLC,28940966.0,35947873.0,40777314.0,45639747.0,51725301.32625745,138.0,304.0,361.0,375.0,57038509.37703724
XTIW,40536899.0,44409960.0,41432272.0,45170332.0,52012697.54351835,267.0,248.0,261.0,278.0,53753283.58492036
FTZK,31857085.0,34849076.0,41370591.0,39956665.0,45907260.0,42.19459932994213,44.0,43.0,45.0,54260378.47318706
UTPD,33034000.0,32099000.0,45758000.0,44139000.0,45795000.0,36.905431580897705,25.889002286375398,18.869439810784993,8.0,57026665.9408738
CYEC,34253663.0,38502014.0,42087530.0,45069198.0,45598677.0,101.0,107.0,114.0,114.08385846409799,49312705.60644369
SRPL,59096000.0,42421000.0,47069000.0,44485000.0,35365527.32737349,92.44388082792109,93.17123293048624,97.0,92.0,38781567.92032407
NYZZ,36736773.0,37906565.0,40865598.0,43912318.0,45324095.0,260.0,265.0,279.0,291.0,48817682.87291667
TBVG,28309109.0,30552997.0,34002458.0,39226113.0,44487782.0,105.0,118.0,130.0,144.0,48402401.628260255
PIBR,11630255.912291955,19806859.0,30813569.0,35211156.0,43629753.0,24.0,30.0,30.0,41.0,52733061.67454468
BQYF,5755936.538940052,14671609.495286964,17925611.0,28898294.0,43504063.0,55.33590666971382,73.0,93.0,103.0,47459390.333222315
GWGQ,33076959.0,34993271.0,33573660.0,37371889.0,43256162.0,62.0,73.0,82.0,98.0,45170706.19409081
XXXD,22643595.0,20321993.0,27974539.0,34145503.0,43230456.0,244.33233110748554,304.0,362.0,394.0,49870655.20219758
EMZI,19217899.0,26665000.0,33333000.0,37242000.0,42974000.0,456.8360293215512,533.0,544.0,611.0,48997934.204954594
YYUZ,15867390.0,23861320.0,29358903.0,30954815.0,42720358.0,146.21263481302418,166.0,176.0,189.0,50623712.88138516
MGSU,15867390.0,23861320.0,29358903.0,30954815.0,42720358.0,156.0,166.0,178.0,191.0,50623005.85927017
TVEE,7488675.0,12234327.0,33162304.0,34765393.0,42716334.0,25.76794890220927,32.78725013160599,42.0,46.0,58079151.75739111
MGGQ,21459433.0,32687345.0,34861893.0,34638468.0,42542488.0,177.37214896072882,194.0,215.0,216.0,48339558.75673455
DBRN,28119519.0,38917483.0,39639594.0,43564283.0,42537664.0,43.481172319541066,45.0,45.0,46.0,43814689.33059999
ZWQU,27331000.0,31876000.0,37169000.0,39824000.0,43417000.0,330.0,368.0,389.0,406.2296737816994,48725928.07302728
WDRM,25616159.75115482,26751968.0,34463832.0,41419711.0,43507081.16685349,16.42634139220675,25.0,28.0,38.0,48273073.61612299
VNUY,19345760.0,22271669.0,24392164.0,37223315.0,42180122.0,300.0,331.0,328.0,345.6370323643589,42249865.31546496
KKHZ,5351052.0,6046131.0,4583171.0,13435302.0,41623901.0,30.726710321739404,117.08768914466248,182.0,257.0,47063054.908142865
XRER,13629116.0,15747151.0,27231638.0,31902998.0,41457497.0,35.21629171005178,25.8430347570152,19.0,10.248339026409818,50895560.52703503
NWBE,27514668.025333084,28688885.0,33406720.0,38708938.0,41052471.0,163.7598565954927,194.0,221.0,237.0,44676401.48139797
LXEL,67103791.76038203,60182799.0,49952876.0,47543984.0,41006692.0,387.0,387.0,343.0,337.1420239729546,37153552.22512463
BATU,17135291.0,38000301.0,40326877.0,41263149.0,42112301.0,56.0,58.0,53.0,59.0,45822127.83084901
PLZG,28466227.0,30972080.0,33346691.0,38192481.0,40575935.0,87.4061744757719,101.0,110.0,119.0,43126368.66967915
CYCS,38234764.0,31072607.0,34386053.0,37318103.0,40534830.0,1916.0,1978.0,1995.0,1966.8330970115492,43865141.13890387
XOGX,35675323.0,37517185.0,37916986.0,38100881.32095843,41287968.59918741,33.69934718950585,34.0,34.0,34.0,44785096.240451425
NPGQ,17978995.0,18605401.0,24073718.0,32444982.0,40427554.0,31.0,36.0,45.0,43.0,44755247.095665604
ZQHC,31032352.0,36143753.0,37855544.0,37916822.0,40325486.0,24.691974803700408,27.0,29.0,31.0,44334219.32105002
LMTN,7844209.0,5308735.0,4345195.0,16933637.0,40015871.0,97.0,114.0,135.0,142.37955114752717,42999757.87131587
QEVJ,28145275.61870616,30247343.0,34986037.0,38705270.0,41423535.9723185,191.0,199.0,200.0,195.0,45780984.76880781
NADZ,18402391.0,24623598.0,30629996.0,35029191.0,39329834.0,177.29707443102288,226.0,271.0,300.0,44366183.56327343
HQEV,7967508.0,14309973.0,17407496.0,22907043.0,39152388.0,60.71457920080452,75.0,92.0,99.0,45252387.48756355
GWHG,25235327.0,28727507.0,25121111.0,36872020.0,38903190.0,111.89974291021718,131.0,152.0,160.0,35428576.66424428
ZJQA,22068598.248819564,25818734.0,35233916.0,36515378.0,38818017.0,92.90105675647332,97.0,105.0,102.0,46413640.93012558
XVLE,22386508.0,26147396.0,32182092.0,34936736.0,38585116.0,281.0,302.0,344.0,342.1100197343949,44034964.781735525
EUBS,41831971.0,46266659.0,50134625.0,70796605.0,38220153.0,129.44196635249457,127.0,125.0,117.0,26767068.612182666
GPQI,21614644.0,26231089.0,36197686.0,51369170.0,38158275.0,81.07421268128357,83.0,89.0,85.0,36929687.14381342
QSZQ,20139007.0,27490891.0,33286792.0,36990746.0,42173197.685760885,60.0,61.0,57.0,56.75198004448875,47816206.949866235
BQDJ,15667564.0,21577329.0,29575000.0,34696000.0,37524000.0,31.322444903289416,36.0,41.0,44.0,42993797.71191646
XXQL,35781785.0,36328000.0,36091000.0,36671000.0,39394451.561085805,135.0,125.0,111.0,113.0,42151625.045162246
AQXZ,75520208.4574838,67819000.0,42792000.0,40156000.0,37071000.0,174.79830278896125,197.0,215.0,225.0,25971352.9476496
HHBB,28619304.0,32779835.0,34248471.0,37589473.0,37015991.0,144.0,152.0,168.0,190.0,38681629.91549438
BFTT,6707045.0,10728045.0,16730198.0,24775974.0,36757488.0,76.0,94.0,108.0,135.0,42268052.501094446
CGWN,11652271.0,19031653.0,27285718.0,35491072.0,40902185.43715504,207.62100644228317,289.0,376.0,422.0,46050161.15712467
HGOX,30075254.0,36545591.0,29614478.0,29504316.0,36036521.0,34.0,428.0,487.0,540.0,36044586.46421373
FWAS,29595495.0,29345485.0,30341719.0,35134928.0,37992478.927218616,171.54884537528756,188.0,211.0,211.0,39762159.36136943
HORQ,34333125.41841836,38532843.0,37651128.0,35048393.0,39132984.980654985,32.340200902981046,40.84077716401971,51.0,56.0,43080831.135475814
ZTHI,14688314.0,16211373.0,17691684.0,18780460.0,35673555.0,50.14571764766097,53.0,50.0,54.0,42540919.416238904
AEAS,17103243.0,21801971.0,25354692.0,29235822.0,35562883.0,48.0,55.0,70.0,73.0,39847723.75512357
TSUM,66713876.0,57725165.0,29522286.0,39109483.0,35067059.0,410.29831807508526,445.5122052069355,469.0,479.0,17224908.552897763
WSLI,56792803.0,42827611.0,32612943.0,24370067.75823941,19643194.271732174,50.00782165121326,37.55752817827492,27.0,15.485812044426108,17401231.992628906
LAJO,27068673.0,29955881.0,32595019.0,35789226.0,34776696.0,338.43755046213073,362.0,375.0,380.0,36834240.54846729
SPRJ,29942949.0,31619189.0,34697577.0,35232363.0,34026913.0,620.0,631.0,632.0,662.0,37131280.503953874
BOZQ,16162195.0,21129814.0,24439221.0,27212644.0,33937770.0,121.0,125.0,124.0,132.0,38497225.98868886
PQPM,19613184.0,23370000.0,27933000.0,31668000.0,33782000.0,35.45141833896822,29.04576822105822,26.11590346291152,19.0,37537211.56887357
DGDU,12529995.0,17624939.0,17623504.0,21104378.0,34166884.0,92.0,103.0,103.0,102.0,38276185.203283176
FPFU,20298212.0,23140389.0,29414161.0,30075735.0,33394590.0,105.40421226613891,118.0,121.0,131.0,39471108.51241477
ZOJF,26776166.0,28735750.0,32261381.0,35669360.0,33079927.0,122.87552340760207,126.0,125.0,124.0,35142069.88327496
